t,MV,PV,DV
2.000000000000000000e+01,4.999999999999999289e+01,2.389999999999999858e+01,5.000000000000000000e+01
2.100000000000000000e+01,5.000000000000001421e+01,2.412000000000000099e+01,5.000000000000000000e+01
2.200000000000000000e+01,4.999999999999999289e+01,2.412000000000000099e+01,5.000000000000000000e+01
2.300000000000000000e+01,4.999999999999998579e+01,2.414999999999999858e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000711e+01,2.419000000000000128e+01,5.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000711e+01,2.425000000000000000e+01,5.000000000000000000e+01
2.600000000000000000e+01,5.000000000000001421e+01,2.437999999999999901e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01
2.800000000000000000e+01,4.999999999999999289e+01,2.444000000000000128e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000711e+01,2.451000000000000156e+01,5.000000000000000000e+01
3.000000000000000000e+01,4.999999999999999289e+01,2.469999999999999929e+01,5.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,2.473000000000000043e+01,5.000000000000000000e+01
3.200000000000000000e+01,4.999999999999998579e+01,2.476999999999999957e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000711e+01,2.482999999999999829e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,2.485999999999999943e+01,5.000000000000000000e+01
3.500000000000000000e+01,4.999999999999999289e+01,2.501999999999999957e+01,5.000000000000000000e+01
3.600000000000000000e+01,4.999999999999999289e+01,2.508999999999999986e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000711e+01,2.521999999999999886e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,2.530999999999999872e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000001421e+01,2.541000000000000014e+01,5.000000000000000000e+01
4.100000000000000000e+01,4.999999999999999289e+01,2.541000000000000014e+01,5.000000000000000000e+01
4.200000000000000000e+01,4.999999999999998579e+01,2.544000000000000128e+01,5.000000000000000000e+01
4.300000000000000000e+01,4.999999999999999289e+01,2.573000000000000043e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000711e+01,2.573000000000000043e+01,5.000000000000000000e+01
4.500000000000000000e+01,4.999999999999999289e+01,2.582999999999999829e+01,5.000000000000000000e+01
4.600000000000000000e+01,4.999999999999998579e+01,2.601999999999999957e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01
4.800000000000000000e+01,4.999999999999998579e+01,2.608999999999999986e+01,5.000000000000000000e+01
4.900000000000000000e+01,4.999999999999999289e+01,2.630999999999999872e+01,5.000000000000000000e+01
5.000000000000000000e+01,4.999999999999999289e+01,2.637999999999999901e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000001421e+01,2.641000000000000014e+01,5.000000000000000000e+01
5.300000000000000000e+01,4.999999999999999289e+01,2.669999999999999929e+01,5.000000000000000000e+01
5.400000000000000000e+01,4.999999999999999289e+01,2.669999999999999929e+01,5.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000711e+01,2.669999999999999929e+01,5.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000711e+01,2.689000000000000057e+01,5.000000000000000000e+01
5.700000000000000000e+01,5.000000000000001421e+01,2.701999999999999957e+01,5.000000000000000000e+01
5.800000000000000000e+01,4.999999999999999289e+01,2.701999999999999957e+01,5.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,2.705000000000000071e+01,5.000000000000000000e+01
6.000000000000000000e+01,4.999999999999999289e+01,2.733999999999999986e+01,5.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000711e+01,2.733999999999999986e+01,5.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000711e+01,2.733999999999999986e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,2.753999999999999915e+01,5.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,2.762999999999999901e+01,5.000000000000000000e+01
6.500000000000000000e+01,4.999999999999999289e+01,2.767000000000000171e+01,5.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,2.778999999999999915e+01,5.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000711e+01,2.778999999999999915e+01,5.000000000000000000e+01
6.800000000000000000e+01,4.999999999999999289e+01,2.798999999999999844e+01,5.000000000000000000e+01
6.900000000000000000e+01,5.000000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,2.814999999999999858e+01,5.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000711e+01,2.830999999999999872e+01,5.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000711e+01,2.830999999999999872e+01,5.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,2.833999999999999986e+01,5.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,2.850000000000000000e+01,5.000000000000000000e+01
