t,MV,PV,DV
2.300000000000000000e+01,5.000000000000001421e+01,2.930999999999999872e+01,5.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,2.937000000000000099e+01,5.000000000000000000e+01
2.500000000000000000e+01,4.999999999999999289e+01,2.928000000000000114e+01,5.000000000000000000e+01
2.600000000000000000e+01,4.999999999999999289e+01,2.950000000000000000e+01,5.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,2.957000000000000028e+01,5.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01
3.000000000000000000e+01,4.999999999999999289e+01,2.960000000000000142e+01,5.000000000000000000e+01
3.100000000000000000e+01,4.999999999999999289e+01,2.973000000000000043e+01,5.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,2.976000000000000156e+01,5.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000711e+01,2.992000000000000171e+01,5.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000711e+01,2.992000000000000171e+01,5.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000711e+01,3.005000000000000071e+01,5.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,3.005000000000000071e+01,5.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,3.012000000000000099e+01,5.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01
4.100000000000000000e+01,4.999999999999999289e+01,3.028000000000000114e+01,5.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000711e+01,3.037000000000000099e+01,5.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,3.053000000000000114e+01,5.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,3.062999999999999901e+01,5.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000711e+01,3.076000000000000156e+01,5.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,3.082000000000000028e+01,5.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,3.092000000000000171e+01,5.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000711e+01,3.114999999999999858e+01,5.000000000000000000e+01
5.300000000000000000e+01,4.999999999999999289e+01,3.121000000000000085e+01,5.000000000000000000e+01
5.400000000000000000e+01,4.999999999999999289e+01,3.121000000000000085e+01,5.000000000000000000e+01
